my_object,video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 0, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [3, 3], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
,TalhQQ9B7vc_0,0.6570467233261483,1.0,0.7866736362847583,0.46009785099911327,1.0,0.6982803140610641,0.9075352227955785,38.750207842361135,70.0,0.0,331.0,0.0,399.0,5.0,10.0,41.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6578799221870468,1.0,0.7871979835746029,0.4578834621995023,1.0,0.691943747800412,0.9071018370963637,36.88618525767963,68.0,0.0,333.0,0.0,399.0,5.0,10.0,42.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6552694409410238,1.0,0.7852845823959916,0.45903980620974555,1.0,0.6970553289537296,0.9082433445052618,35.0955107893038,70.0,0.0,331.0,0.0,399.0,5.0,10.0,43.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6552853949537767,1.0,0.7850852536967418,0.4540013174502439,1.0,0.6866535650758011,0.9053369731267529,33.487046132203616,70.0,0.0,331.0,0.0,399.0,5.0,10.0,44.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6563053098999131,1.0,0.7861145742653384,0.4589042795671741,1.0,0.6963741792157361,0.9079268955749421,29.040755562704348,68.0,0.0,333.0,0.0,399.0,5.0,10.0,45.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.654708115360529,1.0,0.7845883162517465,0.4534447806905094,1.0,0.6863678963568507,0.9058997646947917,27.603421705586914,71.0,0.0,330.0,0.0,399.0,5.0,10.0,46.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6511063316631018,1.0,0.7817395808288223,0.4519983003336797,1.0,0.6925766407263778,0.9082208775243319,26.232568626834315,75.0,0.0,326.0,0.0,399.0,5.0,10.0,47.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6530039705158837,1.0,0.7832745830650976,0.4529955612545711,1.0,0.689329187993382,0.9064661779464812,24.57808603561666,72.0,0.0,329.0,0.0,399.0,5.0,10.0,48.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6533621311722054,1.0,0.7836082912806372,0.45436635559813904,1.0,0.688789489916817,0.9062704652093703,25.140752168004564,71.0,0.0,330.0,0.0,399.0,5.0,10.0,49.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6554193757511819,1.0,0.7853947417733118,0.4578480014861268,1.0,0.6951209979282853,0.9077618815137087,23.76706981797894,69.0,0.0,332.0,0.0,399.0,5.0,10.0,50.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6544527117116481,1.0,0.7843777623981674,0.45248829140730307,1.0,0.6887036761688257,0.9067047459683528,22.591915385091834,71.0,0.0,330.0,0.0,399.0,5.0,10.0,51.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6586413172997608,1.0,0.7879465483886929,0.4596630368966071,1.0,0.6970171951458568,0.9077077892538139,21.350141197867238,65.0,0.0,336.0,0.0,399.0,5.0,10.0,52.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6568388010554229,1.0,0.7863614257994829,0.4555205840796315,1.0,0.6908807515486368,0.906117722589931,18.48100990796609,68.0,0.0,333.0,0.0,399.0,5.0,10.0,53.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6552873217789817,1.0,0.7851071299692803,0.45509250092263426,1.0,0.6883992892548428,0.9062265421224748,17.64499519323882,70.0,0.0,331.0,0.0,399.0,5.0,10.0,54.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6559160659159454,1.0,0.7857084328080756,0.45813512537945994,1.0,0.6922890543806182,0.9076798582144372,16.761584370063716,71.0,0.0,330.0,0.0,399.0,5.0,10.0,55.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6550549766525171,1.0,0.78495224344758,0.4546576705532539,1.0,0.6886801076863905,0.9058809162300752,17.0449373000973,70.0,0.0,331.0,0.0,399.0,5.0,10.0,56.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.656822112973079,1.0,0.7865652301493605,0.4604540617300962,1.0,0.6971307034647907,0.907812236386754,14.882401324709939,68.0,0.0,333.0,0.0,399.0,5.0,10.0,57.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6567378317421295,1.0,0.7864163010087506,0.46053779650134136,1.0,0.693078402909177,0.9070967707345423,15.619050675621134,70.0,0.0,331.0,0.0,399.0,5.0,10.0,58.0,0.3,20.0,"[3, 3]","[30, 30]"
