my_object,video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
,TalhQQ9B7vc_0,0.6550292726570137,1.0,0.7849660857528136,0.4564958201986152,1.0,0.6932740892965032,0.9077760163842812,131.09337559495106,71.0,0.0,330.0,0.0,399.0,5.0,10.0,22.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6541244964644751,1.0,0.7842426081936625,0.45818612187675967,1.0,0.6976958633510888,0.9088902508661539,122.25594912007118,75.0,0.0,326.0,0.0,399.0,5.0,10.0,23.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6547010792752779,1.0,0.7846837491503212,0.457714078120129,1.0,0.6914793492151314,0.9064960245690307,111.86868178568439,75.0,0.0,326.0,0.0,399.0,5.0,10.0,24.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6557963882974761,1.0,0.7855891526586214,0.4599043929443255,1.0,0.6930141211728653,0.9073138596896109,113.34524672319219,73.0,0.0,328.0,0.0,399.0,5.0,10.0,25.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6553314560321156,1.0,0.7852595969702176,0.4571002159670795,1.0,0.6956416319532753,0.9090517147661591,106.50331416271429,69.0,0.0,332.0,0.0,399.0,5.0,10.0,26.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6566370905143332,1.0,0.7860870423519205,0.4532573565110645,1.0,0.688039921226355,0.9052819194917529,99.90240023635698,70.0,0.0,331.0,0.0,399.0,5.0,10.0,27.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.653754550148967,1.0,0.7837221205171306,0.4489267963141136,1.0,0.6824540023513976,0.9042691420531626,92.02615596728312,71.0,0.0,330.0,0.0,399.0,5.0,10.0,28.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6541457917729683,1.0,0.7842033273401476,0.4541573683315164,1.0,0.6880602267548677,0.9053331352852904,82.50198378999825,70.0,0.0,331.0,0.0,399.0,5.0,10.0,29.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.655049073031796,1.0,0.7849314868690966,0.45471214645600877,1.0,0.6872629009131005,0.9046442567747925,76.46183040087777,70.0,0.0,331.0,0.0,399.0,5.0,10.0,30.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6507972500932189,1.0,0.7814700413887802,0.4508405090524715,1.0,0.691034475357972,0.9075001907262374,72.8872901664545,75.0,0.0,326.0,0.0,399.0,5.0,10.0,31.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6600262687884374,1.0,0.7889967042274612,0.46076830177889677,1.0,0.695536990883628,0.9086637543249861,66.8715993423459,67.0,0.0,334.0,0.0,399.0,5.0,10.0,32.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6546364157559976,1.0,0.7845117556718797,0.44987517863708104,1.0,0.6845504306940248,0.9041046165495902,67.21783644204939,68.0,0.0,333.0,0.0,399.0,5.0,10.0,33.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6533924738000338,1.0,0.7834851403876246,0.45153098324603236,1.0,0.6840148544450991,0.9044420121633682,61.87794873303042,72.0,0.0,329.0,0.0,399.0,5.0,10.0,34.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6495394574113648,1.0,0.7803468909012442,0.44753265740262627,1.0,0.6842248668058557,0.9057596552688715,58.0752779203384,75.0,0.0,326.0,0.0,399.0,5.0,10.0,35.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6550673002643862,1.0,0.784935870791285,0.45424264303996864,1.0,0.6871166436350463,0.9057153311016731,53.967022998564346,70.0,0.0,331.0,0.0,399.0,5.0,10.0,36.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6557942043339458,1.0,0.7854544052379644,0.45421294046251176,1.0,0.6867817403156709,0.9048202328672899,48.29302289118289,70.0,0.0,331.0,0.0,399.0,5.0,10.0,37.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.655290338852239,1.0,0.7850885044950633,0.45521031538616086,1.0,0.6905235471251097,0.9075241418255813,45.675663817076966,71.0,0.0,330.0,0.0,399.0,5.0,10.0,38.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6551420448158014,1.0,0.7849959162272105,0.45414200112424497,1.0,0.6890211788895473,0.9058651533208015,42.12518653248948,69.0,0.0,332.0,0.0,399.0,5.0,10.0,39.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6578384847470982,1.0,0.7873563690731964,0.4620067067499322,1.0,0.6963454925641053,0.9080732678025102,39.40521540158601,68.0,0.0,333.0,0.0,399.0,5.0,10.0,40.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6570467233261483,1.0,0.7866736362847583,0.46009785099911327,1.0,0.6982803140610641,0.9075352227955785,38.750207842361135,70.0,0.0,331.0,0.0,399.0,5.0,10.0,41.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6578799221870468,1.0,0.7871979835746029,0.4578834621995023,1.0,0.691943747800412,0.9071018370963637,36.88618525767963,68.0,0.0,333.0,0.0,399.0,5.0,10.0,42.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6552694409410238,1.0,0.7852845823959916,0.45903980620974555,1.0,0.6970553289537296,0.9082433445052618,35.0955107893038,70.0,0.0,331.0,0.0,399.0,5.0,10.0,43.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6552853949537767,1.0,0.7850852536967418,0.4540013174502439,1.0,0.6866535650758011,0.9053369731267529,33.487046132203616,70.0,0.0,331.0,0.0,399.0,5.0,10.0,44.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6563053098999131,1.0,0.7861145742653384,0.4589042795671741,1.0,0.6963741792157361,0.9079268955749421,29.040755562704348,68.0,0.0,333.0,0.0,399.0,5.0,10.0,45.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.654708115360529,1.0,0.7845883162517465,0.4534447806905094,1.0,0.6863678963568507,0.9058997646947917,27.603421705586914,71.0,0.0,330.0,0.0,399.0,5.0,10.0,46.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6511063316631018,1.0,0.7817395808288223,0.4519983003336797,1.0,0.6925766407263778,0.9082208775243319,26.232568626834315,75.0,0.0,326.0,0.0,399.0,5.0,10.0,47.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6530039705158837,1.0,0.7832745830650976,0.4529955612545711,1.0,0.689329187993382,0.9064661779464812,24.57808603561666,72.0,0.0,329.0,0.0,399.0,5.0,10.0,48.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6533621311722054,1.0,0.7836082912806372,0.45436635559813904,1.0,0.688789489916817,0.9062704652093703,25.140752168004564,71.0,0.0,330.0,0.0,399.0,5.0,10.0,49.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6554193757511819,1.0,0.7853947417733118,0.4578480014861268,1.0,0.6951209979282853,0.9077618815137087,23.76706981797894,69.0,0.0,332.0,0.0,399.0,5.0,10.0,50.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6544527117116481,1.0,0.7843777623981674,0.45248829140730307,1.0,0.6887036761688257,0.9067047459683528,22.591915385091834,71.0,0.0,330.0,0.0,399.0,5.0,10.0,51.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6586413172997608,1.0,0.7879465483886929,0.4596630368966071,1.0,0.6970171951458568,0.9077077892538139,21.350141197867238,65.0,0.0,336.0,0.0,399.0,5.0,10.0,52.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6568388010554229,1.0,0.7863614257994829,0.4555205840796315,1.0,0.6908807515486368,0.906117722589931,18.48100990796609,68.0,0.0,333.0,0.0,399.0,5.0,10.0,53.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6552873217789817,1.0,0.7851071299692803,0.45509250092263426,1.0,0.6883992892548428,0.9062265421224748,17.64499519323882,70.0,0.0,331.0,0.0,399.0,5.0,10.0,54.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6559160659159454,1.0,0.7857084328080756,0.45813512537945994,1.0,0.6922890543806182,0.9076798582144372,16.761584370063716,71.0,0.0,330.0,0.0,399.0,5.0,10.0,55.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6550549766525171,1.0,0.78495224344758,0.4546576705532539,1.0,0.6886801076863905,0.9058809162300752,17.0449373000973,70.0,0.0,331.0,0.0,399.0,5.0,10.0,56.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.656822112973079,1.0,0.7865652301493605,0.4604540617300962,1.0,0.6971307034647907,0.907812236386754,14.882401324709939,68.0,0.0,333.0,0.0,399.0,5.0,10.0,57.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6567378317421295,1.0,0.7864163010087506,0.46053779650134136,1.0,0.693078402909177,0.9070967707345423,15.619050675621134,70.0,0.0,331.0,0.0,399.0,5.0,10.0,58.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6569411033552889,1.0,0.7865551640977945,0.4593912882950342,1.0,0.694821262842797,0.9080902025300851,14.63761882844142,70.0,0.0,331.0,0.0,399.0,5.0,10.0,59.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6562812504299009,1.0,0.7860186749365929,0.45850803303453347,1.0,0.6942094870312047,0.9078948243397446,13.944945339607616,70.0,0.0,331.0,0.0,399.0,5.0,10.0,60.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6553112633187149,1.0,0.7851631641190978,0.4551901756759205,1.0,0.6896394855974154,0.9069253549659914,12.288571681954785,70.0,0.0,331.0,0.0,399.0,5.0,10.0,61.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6550849234854969,1.0,0.7850280073954563,0.45669124606508804,1.0,0.689954862660933,0.9059830795592793,11.523461950475212,70.0,0.0,331.0,0.0,399.0,5.0,10.0,62.0,0.3,20.0,"[3, 3]","[30, 30]"
