ATA,Deviation,F,F1,FPS,Ms,OTA,OTP,PBM,admm_iterations,background_ratio,cheb_attenuation,filter_lr,fn,fp,g,gsl_sigma,histogram_bins,histogram_lr,hog_clip,hog_orientations,kaiser_alpha,my_object,num_hog_channels_used,number_of_scales,padding,psr_threshold,scale_lr,scale_model_max_area,scale_sigma_factor,scale_step,template_size,tp,tracker,use_channel_weights,use_color_names,use_gray,use_hog,use_rgb,use_segmentation,video,weights_lr,window_function
0.22644041023392764,0.505646389371589,1.0,0.31488537330789695,25.49516935084335,200.0,1.0,0.11730102160851925,0.5943470475104456,4.0,2.0,45.0,0.02,0.0,0.0,239.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,41.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,aCNvyXSuG6w_0,0.02,hann
0.2518693246216883,0.5955550840661024,0.972972972972973,0.382715601821706,19.48971838059932,237.0,0.9960629921259843,0.22208690694112787,0.8343466702184603,4.0,2.0,45.0,0.02,0.0,1.0,254.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,18.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,gOWc7VBEwMo_0,0.02,hann
0.0539354863672416,0.4865999586730022,0.058394160583941604,0.08907198482674679,29.738244121571093,239.0,0.4241071428571429,0.0776811689058679,0.44050424077498185,4.0,2.0,45.0,0.02,55.0,203.0,448.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,8.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,EmvEUer4CVc_0,0.02,hann
0.3231979690610348,0.5197745471234616,1.0,0.46743038188560593,15.764968858632551,451.0,1.0,0.2570282216185899,0.6548423682415292,4.0,2.0,45.0,0.02,0.0,0.0,539.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,90.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,h-pm7wD31Ss_0,0.02,hann
0.7798975419800127,1.0,1.0,0.8741020304606867,14.236690904954642,1.0,1.0,0.0,0.9647191764183887,4.0,2.0,45.0,0.02,0.0,0.0,194.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,195.0,CSRT,1.0,1.0,1.0,0.0,0.0,1.0,EwlCKB77dYo_2,0.02,hann
0.020588872097722664,0.6391167553441954,0.011428571428571427,0.030322733990257367,105.95385731727605,36.0,-0.6555023923444976,0.07509934242414609,0.14768027129533962,4.0,2.0,45.0,0.02,173.0,173.0,209.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,2.0,CSRT,1.0,1.0,0.0,1.0,0.0,1.0,GceLsS4AwH8_1,0.02,hann
0.16098112432230616,0.30645126815660306,0.09150326797385619,0.24997238335177485,21.274010798544612,383.0,0.7098121085594989,0.1875950928182099,0.5744482677245926,4.0,2.0,45.0,0.02,48.0,91.0,479.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,7.0,CSRT,1.0,1.0,0.0,1.0,0.0,1.0,j93wwDC_a2I_0,0.02,hann
0.4519863284037164,0.6965634147305482,1.0,0.5996662122022409,10.158325285292921,138.0,1.0,0.3087983732434531,0.9452946139788275,4.0,2.0,45.0,0.02,0.0,0.0,263.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,127.0,CSRT,1.0,1.0,0.0,1.0,0.0,1.0,BpXhq5Awd3U_0,0.02,hann
0.7160945598119413,1.0,1.0,0.8314661207945819,9.664898222650784,1.0,1.0,0.0,0.9590130765107764,4.0,2.0,45.0,0.02,0.0,0.0,269.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,270.0,CSRT,1.0,1.0,0.0,1.0,0.0,1.0,EwlCKB77dYo_3,0.02,hann
0.6074114101408852,0.5650859513668989,0.9802816901408451,0.7374614016784803,11.284700705090556,47.0,0.9690265486725663,0.4468046491810368,0.9253907040952776,4.0,2.0,45.0,0.02,0.0,7.0,226.0,1.0,16.0,0.04,0.2,8.0,3.75,,18.0,33.0,2.0,0.035,0.025,512.0,0.25,1.02,200.0,174.0,CSRT,1.0,1.0,0.0,1.0,0.0,1.0,JR0QfXOOmaA_0,0.02,hann
