my_object,video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 10, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [0, 0], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 10, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [1, 1], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 10, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [2, 2], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
,TalhQQ9B7vc_0,0.6436039878527435,1.0,0.7757093254056099,0.45705489136819855,1.0,0.7125428968815859,0.9046762108230191,85.25643059438733,86.0,0.0,315.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[33, 33]","[30, 30]"
,TalhQQ9B7vc_0,0.6618805130501587,1.0,0.7914305460333904,0.46620279264215864,1.0,0.7204096017569761,0.9053679207901852,77.43910770231022,27.0,0.0,374.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[34, 34]","[30, 30]"
,TalhQQ9B7vc_0,0.6584655759239635,1.0,0.7884716802344556,0.4740092547856459,1.0,0.7147353572322723,0.906578300072984,73.36122499553723,36.0,0.0,365.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[35, 35]","[30, 30]"
,TalhQQ9B7vc_0,0.6503471847083001,1.0,0.7805630577587553,0.4589501837533253,1.0,0.6803711735062186,0.8998523684366013,97.61522287893453,95.0,0.0,306.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[36, 36]","[30, 30]"
,TalhQQ9B7vc_0,0.6425457134356607,1.0,0.7736555178748462,0.44452134445210983,1.0,0.6524613003021795,0.8955364391641801,82.96621372126754,105.0,0.0,296.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[37, 37]","[30, 30]"
,TalhQQ9B7vc_0,0.6375399034574873,1.0,0.7697465938353268,0.44195010799818196,1.0,0.6564346481171416,0.8915217006957971,77.64703322194634,103.0,0.0,298.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[38, 38]","[30, 30]"
,TalhQQ9B7vc_0,0.6492301864344402,1.0,0.7808201415015182,0.4705517307195166,1.0,0.7157024023391211,0.903258906775614,62.38720402826061,68.0,0.0,333.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[39, 39]","[30, 30]"
,TalhQQ9B7vc_0,0.6621450025690863,1.0,0.7911620974151333,0.4744296600939135,1.0,0.7175343542554569,0.9069688063733398,72.39167673259404,41.0,0.0,360.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[40, 40]","[30, 30]"
,TalhQQ9B7vc_0,0.6466463954352278,1.0,0.7780908807038837,0.46359031452363647,1.0,0.6818981587959292,0.8957896142621348,61.76049708683799,85.0,0.0,316.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[41, 41]","[30, 30]"
,TalhQQ9B7vc_0,0.6436186604035266,1.0,0.775360114448892,0.4557163361928678,1.0,0.6660288503475067,0.8950763865751579,74.9314472303794,89.0,0.0,312.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[42, 42]","[30, 30]"
,TalhQQ9B7vc_0,0.6475632531367048,1.0,0.7789942062041704,0.4699661161795431,1.0,0.690196643067937,0.8977901828818174,53.35557752542298,88.0,0.0,313.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[43, 43]","[30, 30]"
,TalhQQ9B7vc_0,0.6464730356036619,1.0,0.7782296709331052,0.4685403810252044,1.0,0.6807881541886265,0.8962964400782095,73.26373077446846,86.0,0.0,315.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[44, 44]","[30, 30]"
,TalhQQ9B7vc_0,0.6534595373762493,1.0,0.783686565995001,0.4631870750185318,1.0,0.6935987874724041,0.9029746712305627,66.19243067784913,77.0,0.0,324.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[45, 45]","[30, 30]"
,TalhQQ9B7vc_0,0.6418611214674682,1.0,0.7734006584502344,0.4411969989869577,1.0,0.6771160023295884,0.8999560753576428,62.65500802166546,91.0,0.0,310.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[46, 46]","[30, 30]"
,TalhQQ9B7vc_0,0.6509836005214867,1.0,0.7814814913290298,0.4573303229057542,1.0,0.6815867763973931,0.9016878638140118,55.24451382233759,79.0,0.0,322.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[47, 47]","[30, 30]"
,TalhQQ9B7vc_0,0.649907819948298,1.0,0.7808119447413334,0.460407441522545,1.0,0.6929338631119097,0.9016571309939242,51.34023649290166,75.0,0.0,326.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[48, 48]","[30, 30]"
,TalhQQ9B7vc_0,0.6512648515183961,1.0,0.780821446048534,0.440629711225273,1.0,0.6792830381852926,0.905220757152768,44.91971231706092,83.0,0.0,318.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[49, 49]","[30, 30]"
,TalhQQ9B7vc_0,0.6478656674497023,1.0,0.7789928788449832,0.45938793597424593,1.0,0.6662210590413804,0.8977079868821072,54.53612933978089,81.0,0.0,320.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[50, 50]","[30, 30]"
,TalhQQ9B7vc_0,0.6299444854017733,1.0,0.7630613653943796,0.41722447787903366,1.0,0.6347827964289638,0.8964933412372651,37.4114689606257,95.0,0.0,306.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[51, 51]","[30, 30]"
,TalhQQ9B7vc_0,0.6363491038169715,1.0,0.7688822988230521,0.4333539141789586,1.0,0.6873029625674287,0.9005304575263899,52.9215579477773,92.0,0.0,309.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[52, 52]","[30, 30]"
,TalhQQ9B7vc_0,0.6333221020845969,1.0,0.7657226928116668,0.4181652259215893,1.0,0.6683856436213584,0.9003751410184176,49.320525535616,94.0,0.0,307.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[53, 53]","[30, 30]"
,TalhQQ9B7vc_0,0.6419310345424766,1.0,0.7734840261044259,0.4361349574288745,1.0,0.6746640637046409,0.9009982535032925,34.219001456981125,86.0,0.0,315.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[54, 54]","[30, 30]"
,TalhQQ9B7vc_0,0.6321393023316116,1.0,0.7636863293080645,0.40570048755479077,1.0,0.6643168881435844,0.9028272814018388,45.3313443554947,97.0,0.0,304.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[55, 55]","[30, 30]"
,TalhQQ9B7vc_0,0.6369823455082073,1.0,0.7691992178037527,0.4309766312723129,1.0,0.6753436983717171,0.8991869495133196,53.67572889869452,90.0,0.0,311.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[56, 56]","[30, 30]"
,TalhQQ9B7vc_0,0.6308502515809167,1.0,0.7630087214664104,0.40685192363155936,1.0,0.6711708700529122,0.903099416247846,47.93486982364802,95.0,0.0,306.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[57, 57]","[30, 30]"
,TalhQQ9B7vc_0,0.6281248284610966,1.0,0.7602943157145965,0.40284072212017974,1.0,0.693677349256342,0.906916169663937,44.36168561092626,99.0,0.0,302.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[58, 58]","[30, 30]"
,TalhQQ9B7vc_0,0.6349679296197627,1.0,0.7664347871938199,0.4118900386089864,1.0,0.7153522739135442,0.9127711850563266,32.77082732541274,95.0,0.0,306.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[59, 59]","[30, 30]"
,TalhQQ9B7vc_0,0.6491809611644885,1.0,0.7796284504434776,0.4387708122650657,1.0,0.6585474436186494,0.9036974068686657,35.35925635761738,72.0,0.0,329.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[60, 60]","[30, 30]"
,TalhQQ9B7vc_0,0.63056621822328,1.0,0.7623291938505037,0.3978349699019831,1.0,0.6279327969347478,0.8996433235030241,38.35137089653796,93.0,0.0,308.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[61, 61]","[30, 30]"
