"C:\Users\korna\Documents\Учёба\Проектная практика\TrackingOptimization\venv\Scripts\python.exe" "C:/Users/korna/Documents/Учёба/Проектная практика/TrackingOptimization/main.py"
OpenCV v4.1.0

|   iter    |  target   | maxLevel  | maxMed... | points... | termCr... | termCr... |  winSize  | winSiz... |
|  96       |  0.4934   |  7.473    |  9.099    |  8.198    |  0.1691   |  47.63    |  88.7     |  44.57    |
|  97       |  0.4827   |  7.24     |  5.827    |  8.276    |  0.1557   |  46.73    |  87.0     |  42.93    |
|  98       |  0.5064   |  2.95     |  10.04    |  12.28    |  0.3552   |  49.79    |  88.03    |  47.95    |
|  99       |  0.4891   |  6.363    |  9.564    |  6.903    |  0.562    |  44.57    |  83.21    |  42.24    |
|  100      |  0.5063   |  3.257    |  12.09    |  6.287    |  0.5209   |  47.78    |  80.57    |  46.78    |
|  101      |  0.4979   |  2.853    |  12.1     |  5.772    |  0.2303   |  45.27    |  83.09    |  45.3     |
|  102      |  0.495    |  2.645    |  10.98    |  13.09    |  0.1501   |  48.24    |  87.18    |  48.22    |
|  103      |  0.5104   |  2.552    |  10.07    |  7.638    |  0.451    |  42.26    |  82.8     |  44.39    |
|  104      |  0.5027   |  4.968    |  8.235    |  8.234    |  0.4661   |  48.24    |  85.29    |  44.71    |
|  105      |  0.5021   |  4.659    |  9.732    |  8.256    |  0.4394   |  49.8     |  88.1     |  48.21    |
|  106      |  0.5029   |  2.822    |  8.313    |  5.472    |  0.2243   |  44.87    |  84.92    |  41.9     |
|  107      |  0.5      |  4.097    |  6.35     |  7.202    |  0.4528   |  41.35    |  81.4     |  44.78    |
|  108      |  0.5052   |  2.245    |  11.35    |  9.226    |  0.3558   |  49.96    |  87.73    |  48.66    |
|  109      |  0.5018   |  3.25     |  8.85     |  11.04    |  0.3517   |  49.68    |  87.87    |  47.52    |
|  110      |  0.4843   |  4.722    |  9.421    |  5.559    |  0.1579   |  46.49    |  87.28    |  38.37    |
|  111      |  0.5024   |  3.346    |  8.989    |  7.784    |  0.4447   |  42.56    |  82.86    |  44.48    |
