video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC,my_object
TalhQQ9B7vc_0,0.6453523235348753,1.0,0.7753517513952142,0.4245143884963745,1.0,0.7519477907410446,0.9322927801477244,90.53315861221927,89.0,0.0,312.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[158, 158]",
TalhQQ9B7vc_0,0.6435492821981852,1.0,0.7741888701949697,0.4314525851816558,1.0,0.7463497168544784,0.9305829147292449,106.49155696513617,92.0,0.0,309.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[159, 159]",
TalhQQ9B7vc_0,0.6375068108370592,1.0,0.7682214207280325,0.4113956829478616,1.0,0.7359940530423457,0.9312619167893115,109.35633719961034,96.0,0.0,305.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[160, 160]",
TalhQQ9B7vc_0,0.6434948967676903,1.0,0.7735281105824631,0.4213524049170102,1.0,0.7383736685900517,0.9291929851901989,91.6390522356717,92.0,0.0,309.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[161, 161]",
TalhQQ9B7vc_0,0.6412894774274236,1.0,0.7720144191353876,0.4255122804089694,1.0,0.7530310480101667,0.9319913155991502,107.58355169053428,94.0,0.0,307.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[162, 162]",
TalhQQ9B7vc_0,0.6383233484128984,1.0,0.7690508992815321,0.4166022243197201,1.0,0.737192082405286,0.9289175579568963,100.24334610987673,99.0,0.0,302.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[163, 163]",
TalhQQ9B7vc_0,0.6419792654627574,1.0,0.7719821554563967,0.4188558170680719,1.0,0.7719310380220505,0.9374802201117476,91.00162154974085,98.0,0.0,303.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[164, 164]",
TalhQQ9B7vc_0,0.6406140876206992,1.0,0.7711260006954904,0.42095508000209314,1.0,0.7549353629029021,0.9324377796655657,104.08877461908507,97.0,0.0,304.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[165, 165]",
TalhQQ9B7vc_0,0.6421338769729248,1.0,0.7729629676188644,0.42281936888236926,1.0,0.7240866367136306,0.9298065306030486,103.0208246697214,85.0,0.0,316.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[166, 166]",
TalhQQ9B7vc_0,0.6427095185909042,1.0,0.7736721107683632,0.43086795379986503,1.0,0.7395873517933834,0.9306401917128878,85.88496352636892,88.0,0.0,313.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[167, 167]",
TalhQQ9B7vc_0,0.6383936147670617,1.0,0.769098734338223,0.4153068431843513,1.0,0.7445388656526084,0.9322517234810627,88.31498983169442,97.0,0.0,304.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[168, 168]",
TalhQQ9B7vc_0,0.6363783924378159,1.0,0.7678358824259089,0.4159458940528923,1.0,0.7325818180523515,0.9278617208456397,97.571741837587,94.0,0.0,307.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[169, 169]",
TalhQQ9B7vc_0,0.6423305361713997,1.0,0.772852582606251,0.4224581993364036,1.0,0.7140920897071648,0.9261959421934215,98.04380696864433,91.0,0.0,310.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[170, 170]",
TalhQQ9B7vc_0,0.6248150580719084,1.0,0.7567310626411894,0.39148548581948195,1.0,0.7575039929801005,0.9328791566065822,95.34190144979858,106.0,0.0,295.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[171, 171]",
TalhQQ9B7vc_0,0.6300392048889515,1.0,0.7622517805604373,0.4094784825485155,1.0,0.7526489580412481,0.9337672594136283,82.83673165133975,101.0,0.0,300.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[172, 172]",
TalhQQ9B7vc_0,0.6297768671578523,1.0,0.7616687125888637,0.40700280796978555,1.0,0.7835049460622625,0.9374425433048976,84.40142160074173,105.0,0.0,296.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[173, 173]",
TalhQQ9B7vc_0,0.6456788333536524,1.0,0.7758796300100422,0.4286420177812767,1.0,0.7251649212789435,0.9280053203738592,83.52318312010911,87.0,0.0,314.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[174, 174]",
TalhQQ9B7vc_0,0.6445560684008406,1.0,0.7754139756040672,0.4358042631235797,1.0,0.7335826194440696,0.9276686898547165,81.85608534426541,87.0,0.0,314.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[175, 175]",
